"","X.2","X.1","X","team_name","game_date","season","period","minutes_remaining","seconds_remaining","shot_made_flag","action_type","shot_type","shot_distance","opponent","x","y","name","minute"
"1",1,1,1,"Golden State Warriors","12/15/16",2016,3,3,51,"shot_yes","Cutting Finger Roll Layup Shot","2PT Field Goal",3,"New York Knicks",25,21,"Stephen Curry",33
"2",2,2,2,"Golden State Warriors","10/28/16",2016,3,9,14,"shot_yes","Cutting Finger Roll Layup Shot","2PT Field Goal",2,"New Orleans Pelicans",9,26,"Stephen Curry",27
"3",3,3,3,"Golden State Warriors","11/1/16",2016,2,5,8,"shot_yes","Cutting Finger Roll Layup Shot","2PT Field Goal",2,"Portland Trail Blazers",-22,2,"Stephen Curry",19
"4",4,4,4,"Golden State Warriors","12/1/16",2016,3,5,27,"shot_yes","Cutting Finger Roll Layup Shot","2PT Field Goal",0,"Houston Rockets",2,7,"Stephen Curry",31
"5",5,5,5,"Golden State Warriors","4/4/17",2016,3,2,4,"shot_yes","Cutting Finger Roll Layup Shot","2PT Field Goal",2,"Minnesota Timberwolves",1,26,"Stephen Curry",34
"6",6,6,6,"Golden State Warriors","11/19/16",2016,4,5,36,"shot_yes","Cutting Finger Roll Layup Shot","2PT Field Goal",0,"Milwaukee Bucks",2,7,"Stephen Curry",43
"7",7,7,7,"Golden State Warriors","11/21/16",2016,3,9,51,"shot_yes","Cutting Finger Roll Layup Shot","2PT Field Goal",0,"Indiana Pacers",-1,2,"Stephen Curry",27
"8",8,8,8,"Golden State Warriors","3/29/17",2016,2,1,40,"shot_yes","Cutting Finger Roll Layup Shot","2PT Field Goal",2,"San Antonio Spurs",28,0,"Stephen Curry",23
"9",9,9,9,"Golden State Warriors","11/25/16",2016,3,10,59,"shot_yes","Cutting Layup Shot","2PT Field Goal",1,"Los Angeles Lakers",13,6,"Stephen Curry",26
"10",10,10,10,"Golden State Warriors","12/28/16",2016,3,3,54,"shot_yes","Cutting Layup Shot","2PT Field Goal",1,"Toronto Raptors",-9,8,"Stephen Curry",33
"11",11,11,11,"Golden State Warriors","3/28/17",2016,4,9,36,"shot_yes","Cutting Layup Shot","2PT Field Goal",0,"Houston Rockets",-4,-5,"Stephen Curry",39
"12",12,12,12,"Golden State Warriors","12/11/16",2016,4,3,34,"shot_yes","Cutting Layup Shot","2PT Field Goal",1,"Minnesota Timberwolves",14,7,"Stephen Curry",45
"13",13,13,13,"Golden State Warriors","12/10/16",2016,3,4,12,"shot_no","Cutting Layup Shot","2PT Field Goal",2,"Memphis Grizzlies",-24,-6,"Stephen Curry",32
"14",14,14,14,"Golden State Warriors","2/27/17",2016,1,9,29,"shot_yes","Cutting Layup Shot","2PT Field Goal",0,"Philadelphia 76ers",-7,-6,"Stephen Curry",3
"15",15,15,15,"Golden State Warriors","3/6/17",2016,1,1,40,"shot_yes","Cutting Layup Shot","2PT Field Goal",2,"Atlanta Hawks",20,7,"Stephen Curry",11
"16",16,16,16,"Golden State Warriors","3/21/17",2016,1,8,40,"shot_yes","Cutting Layup Shot","2PT Field Goal",1,"Dallas Mavericks",12,-1,"Stephen Curry",4
"17",17,17,17,"Golden State Warriors","12/3/16",2016,3,9,14,"shot_yes","Cutting Layup Shot","2PT Field Goal",1,"Phoenix Suns",0,11,"Stephen Curry",27
"18",18,18,18,"Golden State Warriors","2/27/17",2016,4,5,51,"shot_yes","Cutting Layup Shot","2PT Field Goal",1,"Philadelphia 76ers",12,7,"Stephen Curry",43
"19",19,19,19,"Golden State Warriors","12/7/16",2016,1,3,8,"shot_yes","Cutting Layup Shot","2PT Field Goal",2,"Los Angeles Clippers",-7,21,"Stephen Curry",9
"20",20,20,20,"Golden State Warriors","3/16/17",2016,3,5,51,"shot_no","Cutting Layup Shot","2PT Field Goal",2,"Orlando Magic",22,18,"Stephen Curry",31
"21",21,21,21,"Golden State Warriors","1/6/17",2016,1,8,39,"shot_yes","Cutting Layup Shot","2PT Field Goal",1,"Memphis Grizzlies",4,11,"Stephen Curry",4
"22",22,22,22,"Golden State Warriors","10/28/16",2016,3,3,12,"shot_yes","Cutting Layup Shot","2PT Field Goal",1,"New Orleans Pelicans",17,7,"Stephen Curry",33
"23",23,23,23,"Golden State Warriors","11/23/16",2016,3,2,55,"shot_yes","Cutting Layup Shot","2PT Field Goal",1,"Los Angeles Lakers",1,11,"Stephen Curry",34
"24",24,24,24,"Golden State Warriors","2/2/17",2016,4,6,16,"shot_yes","Cutting Layup Shot","2PT Field Goal",2,"Los Angeles Clippers",22,16,"Stephen Curry",42
"25",25,25,25,"Golden State Warriors","12/17/16",2016,1,3,20,"shot_yes","Cutting Layup Shot","2PT Field Goal",2,"Portland Trail Blazers",-1,23,"Stephen Curry",9
"26",26,26,26,"Golden State Warriors","12/20/16",2016,2,1,36,"shot_yes","Cutting Layup Shot","2PT Field Goal",1,"Utah Jazz",-1,16,"Stephen Curry",23
"27",27,27,27,"Golden State Warriors","11/25/16",2016,4,2,31,"shot_yes","Cutting Layup Shot","2PT Field Goal",0,"Los Angeles Lakers",8,-2,"Stephen Curry",46
"28",28,28,28,"Golden State Warriors","3/26/17",2016,3,8,9,"shot_no","Cutting Layup Shot","2PT Field Goal",2,"Memphis Grizzlies",9,21,"Stephen Curry",28
"29",29,29,29,"Golden State Warriors","2/10/17",2016,1,2,41,"shot_yes","Cutting Layup Shot","2PT Field Goal",2,"Memphis Grizzlies",24,7,"Stephen Curry",10
"30",30,30,30,"Golden State Warriors","1/28/17",2016,1,11,22,"shot_yes","Cutting Layup Shot","2PT Field Goal",1,"Los Angeles Clippers",-7,16,"Stephen Curry",1
"31",31,31,31,"Golden State Warriors","12/25/16",2016,4,4,28,"shot_yes","Cutting Layup Shot","2PT Field Goal",0,"Cleveland Cavaliers",1,-5,"Stephen Curry",44
"32",32,32,32,"Golden State Warriors","11/19/16",2016,3,8,3,"shot_yes","Cutting Layup Shot","2PT Field Goal",0,"Milwaukee Bucks",0,7,"Stephen Curry",28
"33",33,33,33,"Golden State Warriors","11/23/16",2016,2,2,41,"shot_yes","Cutting Layup Shot","2PT Field Goal",1,"Los Angeles Lakers",10,16,"Stephen Curry",22
"34",34,34,34,"Golden State Warriors","2/15/17",2016,1,9,28,"shot_yes","Cutting Layup Shot","2PT Field Goal",1,"Sacramento Kings",6,16,"Stephen Curry",3
"35",35,35,35,"Golden State Warriors","12/7/16",2016,1,7,6,"shot_yes","Cutting Layup Shot","2PT Field Goal",2,"Los Angeles Clippers",25,2,"Stephen Curry",5
"36",36,36,36,"Golden State Warriors","12/7/16",2016,2,4,38,"shot_yes","Cutting Layup Shot","2PT Field Goal",2,"Los Angeles Clippers",6,21,"Stephen Curry",20
"37",37,37,37,"Golden State Warriors","11/21/16",2016,3,6,46,"shot_yes","Driving Bank shot","2PT Field Goal",11,"Indiana Pacers",-110,36,"Stephen Curry",30
"38",38,38,38,"Golden State Warriors","1/6/17",2016,4,1,20,"shot_yes","Driving Bank shot","2PT Field Goal",6,"Memphis Grizzlies",-43,46,"Stephen Curry",47
"39",39,39,39,"Golden State Warriors","11/26/16",2016,1,2,41,"shot_yes","Driving Bank shot","2PT Field Goal",3,"Minnesota Timberwolves",12,31,"Stephen Curry",10
"40",40,40,40,"Golden State Warriors","2/2/17",2016,1,4,7,"shot_yes","Driving Bank shot","2PT Field Goal",5,"Los Angeles Clippers",-52,18,"Stephen Curry",8
"41",41,41,41,"Golden State Warriors","11/13/16",2016,2,5,30,"shot_yes","Driving Bank shot","2PT Field Goal",11,"Phoenix Suns",-70,85,"Stephen Curry",19
"42",42,42,42,"Golden State Warriors","11/9/16",2016,2,8,42,"shot_yes","Driving Finger Roll Layup Shot","2PT Field Goal",1,"Dallas Mavericks",10,16,"Stephen Curry",16
"43",43,43,43,"Golden State Warriors","1/4/17",2016,1,5,53,"shot_yes","Driving Finger Roll Layup Shot","2PT Field Goal",2,"Portland Trail Blazers",-7,26,"Stephen Curry",7
"44",44,44,44,"Golden State Warriors","11/18/16",2016,2,1,52,"shot_yes","Driving Finger Roll Layup Shot","2PT Field Goal",2,"Boston Celtics",-25,7,"Stephen Curry",23
"45",45,45,45,"Golden State Warriors","11/18/16",2016,4,0,48,"shot_yes","Driving Finger Roll Layup Shot","2PT Field Goal",1,"Boston Celtics",-9,16,"Stephen Curry",48
"46",46,46,46,"Golden State Warriors","11/13/16",2016,3,1,6,"shot_yes","Driving Finger Roll Layup Shot","2PT Field Goal",2,"Phoenix Suns",-1,21,"Stephen Curry",35
"47",47,47,47,"Golden State Warriors","3/29/17",2016,3,5,22,"shot_yes","Driving Finger Roll Layup Shot","2PT Field Goal",1,"San Antonio Spurs",9,-5,"Stephen Curry",31
"48",48,48,48,"Golden State Warriors","1/2/17",2016,1,2,24,"shot_no","Driving Finger Roll Layup Shot","2PT Field Goal",2,"Denver Nuggets",17,11,"Stephen Curry",10
"49",49,49,49,"Golden State Warriors","2/25/17",2016,4,2,59,"shot_yes","Driving Finger Roll Layup Shot","2PT Field Goal",3,"Brooklyn Nets",20,23,"Stephen Curry",46
"50",50,50,50,"Golden State Warriors","11/16/16",2016,1,7,22,"shot_yes","Driving Finger Roll Layup Shot","2PT Field Goal",3,"Toronto Raptors",-29,11,"Stephen Curry",5
"51",51,51,51,"Golden State Warriors","4/4/17",2016,1,10,16,"shot_no","Driving Finger Roll Layup Shot","2PT Field Goal",3,"Minnesota Timberwolves",22,26,"Stephen Curry",2
"52",52,52,52,"Golden State Warriors","2/23/17",2016,3,1,52,"shot_yes","Driving Finger Roll Layup Shot","2PT Field Goal",2,"Los Angeles Clippers",-12,16,"Stephen Curry",35
"53",53,53,53,"Golden State Warriors","3/29/17",2016,1,1,49,"shot_no","Driving Finger Roll Layup Shot","2PT Field Goal",0,"San Antonio Spurs",-2,8,"Stephen Curry",11
"54",54,54,54,"Golden State Warriors","12/28/16",2016,4,0,13,"shot_yes","Driving Finger Roll Layup Shot","2PT Field Goal",1,"Toronto Raptors",0,16,"Stephen Curry",48
"55",55,55,55,"Golden State Warriors","12/20/16",2016,1,1,0,"shot_no","Driving Finger Roll Layup Shot","2PT Field Goal",2,"Utah Jazz",-9,28,"Stephen Curry",11
"56",56,56,56,"Golden State Warriors","11/26/16",2016,3,2,9,"shot_yes","Driving Finger Roll Layup Shot","2PT Field Goal",2,"Minnesota Timberwolves",0,26,"Stephen Curry",34
"57",57,57,57,"Golden State Warriors","11/26/16",2016,4,5,3,"shot_yes","Driving Finger Roll Layup Shot","2PT Field Goal",1,"Minnesota Timberwolves",6,16,"Stephen Curry",43
"58",58,58,58,"Golden State Warriors","12/30/16",2016,1,7,31,"shot_yes","Driving Finger Roll Layup Shot","2PT Field Goal",0,"Dallas Mavericks",2,7,"Stephen Curry",5
"59",59,59,59,"Golden State Warriors","12/20/16",2016,1,1,49,"shot_yes","Driving Finger Roll Layup Shot","2PT Field Goal",2,"Utah Jazz",2,21,"Stephen Curry",11
"60",60,60,60,"Golden State Warriors","3/29/17",2016,2,0,49,"shot_yes","Driving Finger Roll Layup Shot","2PT Field Goal",1,"San Antonio Spurs",-19,2,"Stephen Curry",24
"61",61,61,61,"Golden State Warriors","11/19/16",2016,4,2,47,"shot_yes","Driving Finger Roll Layup Shot","2PT Field Goal",1,"Milwaukee Bucks",15,7,"Stephen Curry",46
"62",62,62,62,"Golden State Warriors","11/18/16",2016,3,7,18,"shot_yes","Driving Finger Roll Layup Shot","2PT Field Goal",1,"Boston Celtics",9,-5,"Stephen Curry",29
"63",63,63,63,"Golden State Warriors","2/27/17",2016,3,0,25,"shot_yes","Driving Finger Roll Layup Shot","2PT Field Goal",1,"Philadelphia 76ers",0,16,"Stephen Curry",36
"64",64,64,64,"Golden State Warriors","3/31/17",2016,3,3,28,"shot_yes","Driving Finger Roll Layup Shot","2PT Field Goal",2,"Houston Rockets",-1,21,"Stephen Curry",33
"65",65,65,65,"Golden State Warriors","12/11/16",2016,2,0,29,"shot_no","Driving Finger Roll Layup Shot","2PT Field Goal",3,"Minnesota Timberwolves",24,31,"Stephen Curry",24
"66",66,66,66,"Golden State Warriors","3/16/17",2016,3,0,54,"shot_yes","Driving Finger Roll Layup Shot","2PT Field Goal",2,"Orlando Magic",19,18,"Stephen Curry",36
"67",67,67,67,"Golden State Warriors","12/8/16",2016,3,7,36,"shot_yes","Driving Finger Roll Layup Shot","2PT Field Goal",2,"Utah Jazz",22,0,"Stephen Curry",29
"68",68,68,68,"Golden State Warriors","12/5/16",2016,2,1,10,"shot_yes","Driving Finger Roll Layup Shot","2PT Field Goal",0,"Indiana Pacers",0,8,"Stephen Curry",23
"69",69,69,69,"Golden State Warriors","1/16/17",2016,1,4,57,"shot_no","Driving Finger Roll Layup Shot","2PT Field Goal",2,"Cleveland Cavaliers",-1,26,"Stephen Curry",8
"70",70,70,70,"Golden State Warriors","3/31/17",2016,3,9,15,"shot_yes","Driving Finger Roll Layup Shot","2PT Field Goal",1,"Houston Rockets",12,7,"Stephen Curry",27
"71",71,71,71,"Golden State Warriors","11/3/16",2016,1,8,59,"shot_yes","Driving Finger Roll Layup Shot","2PT Field Goal",1,"Oklahoma City Thunder",-4,16,"Stephen Curry",4
"72",72,72,72,"Golden State Warriors","2/2/17",2016,3,11,6,"shot_yes","Driving Floating Bank Jump Shot","2PT Field Goal",8,"Los Angeles Clippers",76,44,"Stephen Curry",25
"73",73,73,73,"Golden State Warriors","2/28/17",2016,2,2,28,"shot_yes","Driving Floating Bank Jump Shot","2PT Field Goal",3,"Washington Wizards",30,21,"Stephen Curry",22
"74",74,74,74,"Golden State Warriors","3/29/17",2016,4,4,43,"shot_no","Driving Floating Bank Jump Shot","2PT Field Goal",10,"San Antonio Spurs",97,31,"Stephen Curry",44
"75",75,75,75,"Golden State Warriors","11/1/16",2016,2,0,1,"shot_no","Driving Floating Jump Shot","2PT Field Goal",15,"Portland Trail Blazers",-53,149,"Stephen Curry",24
"76",76,76,76,"Golden State Warriors","2/11/17",2016,4,5,27,"shot_no","Driving Floating Jump Shot","2PT Field Goal",3,"Oklahoma City Thunder",25,21,"Stephen Curry",43
"77",77,77,77,"Golden State Warriors","11/28/16",2016,4,4,6,"shot_no","Driving Floating Jump Shot","2PT Field Goal",10,"Atlanta Hawks",-93,49,"Stephen Curry",44
"78",78,78,78,"Golden State Warriors","3/2/17",2016,1,6,16,"shot_yes","Driving Floating Jump Shot","2PT Field Goal",3,"Chicago Bulls",4,38,"Stephen Curry",6
"79",79,79,79,"Golden State Warriors","12/20/16",2016,2,5,29,"shot_no","Driving Floating Jump Shot","2PT Field Goal",11,"Utah Jazz",92,70,"Stephen Curry",19
"80",80,80,80,"Golden State Warriors","10/25/16",2016,2,4,58,"shot_yes","Driving Floating Jump Shot","2PT Field Goal",7,"San Antonio Spurs",-16,70,"Stephen Curry",20
"81",81,81,81,"Golden State Warriors","11/1/16",2016,1,6,45,"shot_no","Driving Floating Jump Shot","2PT Field Goal",14,"Portland Trail Blazers",51,134,"Stephen Curry",6
"82",82,82,82,"Golden State Warriors","12/28/16",2016,1,8,46,"shot_yes","Driving Floating Jump Shot","2PT Field Goal",12,"Toronto Raptors",60,115,"Stephen Curry",4
"83",83,83,83,"Golden State Warriors","10/30/16",2016,4,10,0,"shot_no","Driving Floating Jump Shot","2PT Field Goal",7,"Phoenix Suns",-16,72,"Stephen Curry",38
"84",84,84,84,"Golden State Warriors","3/24/17",2016,3,4,34,"shot_no","Driving Floating Jump Shot","2PT Field Goal",5,"Sacramento Kings",6,51,"Stephen Curry",32
"85",85,85,85,"Golden State Warriors","11/28/16",2016,4,3,29,"shot_yes","Driving Floating Jump Shot","2PT Field Goal",4,"Atlanta Hawks",-4,46,"Stephen Curry",45
"86",86,86,86,"Golden State Warriors","11/1/16",2016,3,6,19,"shot_no","Driving Floating Jump Shot","2PT Field Goal",6,"Portland Trail Blazers",66,13,"Stephen Curry",30
"87",87,87,87,"Golden State Warriors","4/4/17",2016,2,2,11,"shot_no","Driving Floating Jump Shot","2PT Field Goal",6,"Minnesota Timberwolves",20,57,"Stephen Curry",22
"88",88,88,88,"Golden State Warriors","12/3/16",2016,3,1,36,"shot_yes","Driving Floating Jump Shot","2PT Field Goal",5,"Phoenix Suns",-7,51,"Stephen Curry",35
"89",89,89,89,"Golden State Warriors","10/25/16",2016,4,6,46,"shot_yes","Driving Floating Jump Shot","2PT Field Goal",4,"San Antonio Spurs",2,41,"Stephen Curry",42
"90",90,90,90,"Golden State Warriors","12/28/16",2016,3,1,36,"shot_yes","Driving Floating Jump Shot","2PT Field Goal",10,"Toronto Raptors",-92,51,"Stephen Curry",35
"91",91,91,91,"Golden State Warriors","11/3/16",2016,1,5,1,"shot_no","Driving Floating Jump Shot","2PT Field Goal",8,"Oklahoma City Thunder",-34,82,"Stephen Curry",7
"92",92,92,92,"Golden State Warriors","1/6/17",2016,1,10,56,"shot_yes","Driving Hook Shot","2PT Field Goal",4,"Memphis Grizzlies",27,31,"Stephen Curry",2
"93",93,93,93,"Golden State Warriors","11/7/16",2016,3,1,11,"shot_no","Driving Hook Shot","2PT Field Goal",5,"New Orleans Pelicans",2,57,"Stephen Curry",35
"94",94,94,94,"Golden State Warriors","1/2/17",2016,2,1,11,"shot_no","Driving Hook Shot","2PT Field Goal",2,"Denver Nuggets",4,26,"Stephen Curry",23
"95",95,95,95,"Golden State Warriors","11/18/16",2016,1,7,28,"shot_yes","Driving Hook Shot","2PT Field Goal",6,"Boston Celtics",-27,56,"Stephen Curry",5
"96",96,96,96,"Golden State Warriors","3/5/17",2016,1,1,56,"shot_yes","Driving Layup Shot","2PT Field Goal",2,"New York Knicks",-29,0,"Stephen Curry",11
"97",97,97,97,"Golden State Warriors","11/4/16",2016,1,9,44,"shot_yes","Driving Layup Shot","2PT Field Goal",0,"Los Angeles Lakers",1,1,"Stephen Curry",3
"98",98,98,98,"Golden State Warriors","1/2/17",2016,1,0,53,"shot_yes","Driving Layup Shot","2PT Field Goal",1,"Denver Nuggets",1,11,"Stephen Curry",12
"99",99,99,99,"Golden State Warriors","3/5/17",2016,3,4,38,"shot_yes","Driving Layup Shot","2PT Field Goal",1,"New York Knicks",-12,3,"Stephen Curry",32
"100",100,100,100,"Golden State Warriors","11/4/16",2016,1,8,4,"shot_yes","Driving Layup Shot","2PT Field Goal",1,"Los Angeles Lakers",-18,1,"Stephen Curry",4
"101",101,101,101,"Golden State Warriors","3/28/17",2016,2,3,53,"shot_yes","Driving Layup Shot","2PT Field Goal",0,"Houston Rockets",-2,2,"Stephen Curry",21
"102",102,102,102,"Golden State Warriors","11/16/16",2016,3,8,1,"shot_yes","Driving Layup Shot","2PT Field Goal",1,"Toronto Raptors",-19,2,"Stephen Curry",28
"103",103,103,103,"Golden State Warriors","10/28/16",2016,4,1,47,"shot_yes","Driving Layup Shot","2PT Field Goal",0,"New Orleans Pelicans",4,8,"Stephen Curry",47
"104",104,104,104,"Golden State Warriors","12/28/16",2016,2,2,43,"shot_yes","Driving Layup Shot","2PT Field Goal",0,"Toronto Raptors",-2,2,"Stephen Curry",22
"105",105,105,105,"Golden State Warriors","2/28/17",2016,3,4,58,"shot_yes","Driving Layup Shot","2PT Field Goal",1,"Washington Wizards",-6,8,"Stephen Curry",32
"106",106,106,106,"Golden State Warriors","12/13/16",2016,1,1,8,"shot_yes","Driving Layup Shot","2PT Field Goal",2,"New Orleans Pelicans",-22,3,"Stephen Curry",11
"107",107,107,107,"Golden State Warriors","12/13/16",2016,3,10,42,"shot_yes","Driving Layup Shot","2PT Field Goal",1,"New Orleans Pelicans",12,8,"Stephen Curry",26
"108",108,108,108,"Golden State Warriors","11/9/16",2016,3,1,23,"shot_yes","Driving Layup Shot","2PT Field Goal",2,"Dallas Mavericks",0,28,"Stephen Curry",35
"109",109,109,109,"Golden State Warriors","11/28/16",2016,4,6,33,"shot_no","Driving Layup Shot","2PT Field Goal",0,"Atlanta Hawks",4,7,"Stephen Curry",42
"110",110,110,110,"Golden State Warriors","12/23/16",2016,4,3,48,"shot_yes","Driving Layup Shot","2PT Field Goal",0,"Detroit Pistons",-1,3,"Stephen Curry",45
"111",111,111,111,"Golden State Warriors","1/20/17",2016,3,4,10,"shot_no","Driving Layup Shot","2PT Field Goal",2,"Houston Rockets",17,11,"Stephen Curry",32
"112",112,112,112,"Golden State Warriors","12/23/16",2016,2,4,46,"shot_no","Driving Layup Shot","2PT Field Goal",0,"Detroit Pistons",-2,-1,"Stephen Curry",20
"113",113,113,113,"Golden State Warriors","1/18/17",2016,1,7,8,"shot_yes","Driving Layup Shot","2PT Field Goal",2,"Oklahoma City Thunder",-1,26,"Stephen Curry",5
"114",114,114,114,"Golden State Warriors","3/2/17",2016,1,0,21,"shot_yes","Driving Layup Shot","2PT Field Goal",0,"Chicago Bulls",8,5,"Stephen Curry",12
"115",115,115,115,"Golden State Warriors","3/26/17",2016,2,1,44,"shot_yes","Driving Layup Shot","2PT Field Goal",1,"Memphis Grizzlies",2,18,"Stephen Curry",23
"116",116,116,116,"Golden State Warriors","1/18/17",2016,1,2,51,"shot_yes","Driving Layup Shot","2PT Field Goal",2,"Oklahoma City Thunder",-11,26,"Stephen Curry",10
"117",117,117,117,"Golden State Warriors","2/10/17",2016,3,4,40,"shot_yes","Driving Layup Shot","2PT Field Goal",0,"Memphis Grizzlies",4,2,"Stephen Curry",32
"118",118,118,118,"Golden State Warriors","3/2/17",2016,4,7,41,"shot_yes","Driving Layup Shot","2PT Field Goal",1,"Chicago Bulls",-14,2,"Stephen Curry",41
"119",119,119,119,"Golden State Warriors","2/1/17",2016,3,6,17,"shot_yes","Driving Layup Shot","2PT Field Goal",1,"Charlotte Hornets",-7,11,"Stephen Curry",30
"120",120,120,120,"Golden State Warriors","2/11/17",2016,3,6,48,"shot_yes","Driving Layup Shot","2PT Field Goal",2,"Oklahoma City Thunder",28,0,"Stephen Curry",30
"121",121,121,121,"Golden State Warriors","2/13/17",2016,3,4,42,"shot_no","Driving Layup Shot","2PT Field Goal",2,"Denver Nuggets",-29,-1,"Stephen Curry",32
"122",122,122,122,"Golden State Warriors","10/30/16",2016,1,4,2,"shot_no","Driving Layup Shot","2PT Field Goal",2,"Phoenix Suns",19,7,"Stephen Curry",8
"123",123,123,123,"Golden State Warriors","2/8/17",2016,2,1,20,"shot_no","Driving Layup Shot","2PT Field Goal",2,"Chicago Bulls",0,21,"Stephen Curry",23
"124",124,124,124,"Golden State Warriors","12/30/16",2016,1,2,6,"shot_no","Driving Layup Shot","2PT Field Goal",2,"Dallas Mavericks",-20,19,"Stephen Curry",10
"125",125,125,125,"Golden State Warriors","2/28/17",2016,3,1,45,"shot_yes","Driving Layup Shot","2PT Field Goal",1,"Washington Wizards",15,7,"Stephen Curry",35
"126",126,126,126,"Golden State Warriors","2/11/17",2016,3,2,5,"shot_yes","Driving Layup Shot","2PT Field Goal",0,"Oklahoma City Thunder",0,7,"Stephen Curry",34
"127",127,127,127,"Golden State Warriors","1/22/17",2016,1,0,0,"shot_no","Driving Layup Shot","2PT Field Goal",1,"Orlando Magic",-12,8,"Stephen Curry",12
"128",128,128,128,"Golden State Warriors","10/25/16",2016,3,1,16,"shot_yes","Driving Layup Shot","2PT Field Goal",1,"San Antonio Spurs",9,13,"Stephen Curry",35
"129",129,129,129,"Golden State Warriors","2/4/17",2016,1,2,7,"shot_yes","Driving Layup Shot","2PT Field Goal",3,"Sacramento Kings",-20,28,"Stephen Curry",10
"130",130,130,130,"Golden State Warriors","1/8/17",2016,3,1,59,"shot_yes","Driving Layup Shot","2PT Field Goal",2,"Sacramento Kings",24,8,"Stephen Curry",35
"131",131,131,131,"Golden State Warriors","3/2/17",2016,4,6,46,"shot_yes","Driving Layup Shot","2PT Field Goal",1,"Chicago Bulls",14,3,"Stephen Curry",42
"132",132,132,132,"Golden State Warriors","3/20/17",2016,1,1,29,"shot_no","Driving Layup Shot","2PT Field Goal",0,"Oklahoma City Thunder",-4,3,"Stephen Curry",11
"133",133,133,133,"Golden State Warriors","10/25/16",2016,2,3,34,"shot_yes","Driving Layup Shot","2PT Field Goal",0,"San Antonio Spurs",-1,7,"Stephen Curry",21
"134",134,134,134,"Golden State Warriors","12/11/16",2016,3,10,22,"shot_no","Driving Layup Shot","2PT Field Goal",1,"Minnesota Timberwolves",12,7,"Stephen Curry",26
"135",135,135,135,"Golden State Warriors","12/11/16",2016,1,1,14,"shot_yes","Driving Layup Shot","2PT Field Goal",2,"Minnesota Timberwolves",6,21,"Stephen Curry",11
"136",136,136,136,"Golden State Warriors","3/18/17",2016,2,0,38,"shot_yes","Driving Layup Shot","2PT Field Goal",1,"Milwaukee Bucks",1,13,"Stephen Curry",24
"137",137,137,137,"Golden State Warriors","2/27/17",2016,3,8,3,"shot_no","Driving Layup Shot","2PT Field Goal",1,"Philadelphia 76ers",19,2,"Stephen Curry",28
"138",138,138,138,"Golden State Warriors","12/15/16",2016,2,7,40,"shot_no","Driving Layup Shot","2PT Field Goal",1,"New York Knicks",9,8,"Stephen Curry",17
"139",139,139,139,"Golden State Warriors","11/13/16",2016,2,2,6,"shot_yes","Driving Layup Shot","2PT Field Goal",2,"Phoenix Suns",0,21,"Stephen Curry",22
"140",140,140,140,"Golden State Warriors","2/27/17",2016,4,3,42,"shot_yes","Driving Layup Shot","2PT Field Goal",1,"Philadelphia 76ers",-9,16,"Stephen Curry",45
"141",141,141,141,"Golden State Warriors","2/27/17",2016,2,4,51,"shot_yes","Driving Layup Shot","2PT Field Goal",1,"Philadelphia 76ers",10,11,"Stephen Curry",20
"142",142,142,142,"Golden State Warriors","2/4/17",2016,2,1,36,"shot_yes","Driving Layup Shot","2PT Field Goal",2,"Sacramento Kings",28,2,"Stephen Curry",23
"143",143,143,143,"Golden State Warriors","11/26/16",2016,3,1,48,"shot_yes","Driving Layup Shot","2PT Field Goal",2,"Minnesota Timberwolves",9,18,"Stephen Curry",35
"144",144,144,144,"Golden State Warriors","3/2/17",2016,4,1,27,"shot_no","Driving Layup Shot","2PT Field Goal",2,"Chicago Bulls",9,21,"Stephen Curry",47
"145",145,145,145,"Golden State Warriors","3/2/17",2016,2,2,38,"shot_yes","Driving Layup Shot","2PT Field Goal",0,"Chicago Bulls",9,3,"Stephen Curry",22
"146",146,146,146,"Golden State Warriors","1/28/17",2016,3,9,46,"shot_yes","Driving Layup Shot","2PT Field Goal",1,"Los Angeles Clippers",9,7,"Stephen Curry",27
"147",147,147,147,"Golden State Warriors","3/29/17",2016,4,2,8,"shot_yes","Driving Layup Shot","2PT Field Goal",1,"San Antonio Spurs",-6,8,"Stephen Curry",46
"148",148,148,148,"Golden State Warriors","1/25/17",2016,4,4,48,"shot_yes","Driving Layup Shot","2PT Field Goal",1,"Charlotte Hornets",-12,3,"Stephen Curry",44
"149",149,149,149,"Golden State Warriors","1/25/17",2016,1,5,29,"shot_yes","Driving Layup Shot","2PT Field Goal",1,"Charlotte Hornets",-14,7,"Stephen Curry",7
"150",150,150,150,"Golden State Warriors","1/6/17",2016,1,3,33,"shot_yes","Driving Layup Shot","2PT Field Goal",2,"Memphis Grizzlies",14,23,"Stephen Curry",9
"151",151,151,151,"Golden State Warriors","12/7/16",2016,1,2,10,"shot_yes","Driving Layup Shot","2PT Field Goal",2,"Los Angeles Clippers",20,18,"Stephen Curry",10
"152",152,152,152,"Golden State Warriors","1/28/17",2016,2,4,40,"shot_no","Driving Layup Shot","2PT Field Goal",2,"Los Angeles Clippers",20,16,"Stephen Curry",20
"153",153,153,153,"Golden State Warriors","3/5/17",2016,3,1,23,"shot_yes","Driving Layup Shot","2PT Field Goal",0,"New York Knicks",-6,3,"Stephen Curry",35
"154",154,154,154,"Golden State Warriors","10/25/16",2016,3,3,35,"shot_yes","Driving Reverse Layup Shot","2PT Field Goal",0,"San Antonio Spurs",8,5,"Stephen Curry",33
