"","X.1","X","team_name","game_date","season","period","minutes_remaining","seconds_remaining","shot_made_flag","action_type","shot_type","shot_distance","opponent","x","y","name","minute"
"1","1","1","Golden State Warriors","11/1/16","2016",1,9,28,"shot_yes","Alley Oop Layup shot","2PT Field Goal",2,"Portland Trail Blazers",-25,7,"Klay Thompson",3
"2","2","2","Golden State Warriors","2/23/17","2016",4,10,16,"shot_yes","Alley Oop Layup shot","2PT Field Goal",1,"Los Angeles Clippers",2,11,"Klay Thompson",38
"3","3","3","Golden State Warriors","2/25/17","2016",3,5,30,"shot_yes","Cutting Dunk Shot","2PT Field Goal",0,"Brooklyn Nets",0,1,"Klay Thompson",31
"4","4","4","Golden State Warriors","3/21/17","2016",4,8,56,"shot_yes","Cutting Finger Roll Layup Shot","2PT Field Goal",0,"Dallas Mavericks",0,-1,"Klay Thompson",40
"5","5","5","Golden State Warriors","11/21/16","2016",2,4,39,"shot_yes","Cutting Finger Roll Layup Shot","2PT Field Goal",1,"Indiana Pacers",2,16,"Klay Thompson",20
"6","6","6","Golden State Warriors","12/30/16","2016",4,7,17,"shot_yes","Cutting Finger Roll Layup Shot","2PT Field Goal",0,"Dallas Mavericks",-6,7,"Klay Thompson",41
"7","7","7","Golden State Warriors","11/7/16","2016",4,7,46,"shot_yes","Cutting Finger Roll Layup Shot","2PT Field Goal",2,"New Orleans Pelicans",4,26,"Klay Thompson",41
"8","8","8","Golden State Warriors","12/5/16","2016",2,8,55,"shot_yes","Cutting Finger Roll Layup Shot","2PT Field Goal",2,"Indiana Pacers",4,26,"Klay Thompson",16
"9","9","9","Golden State Warriors","11/25/16","2016",4,7,31,"shot_yes","Cutting Finger Roll Layup Shot","2PT Field Goal",1,"Los Angeles Lakers",1,16,"Klay Thompson",41
"10","10","10","Golden State Warriors","11/13/16","2016",2,8,47,"shot_yes","Cutting Finger Roll Layup Shot","2PT Field Goal",2,"Phoenix Suns",15,21,"Klay Thompson",16
"11","11","11","Golden State Warriors","11/7/16","2016",3,10,17,"shot_yes","Cutting Finger Roll Layup Shot","2PT Field Goal",1,"New Orleans Pelicans",-1,11,"Klay Thompson",26
"12","12","12","Golden State Warriors","3/28/17","2016",1,6,44,"shot_yes","Cutting Layup Shot","2PT Field Goal",0,"Houston Rockets",1,-1,"Klay Thompson",6
"13","13","13","Golden State Warriors","12/10/16","2016",2,5,5,"shot_no","Cutting Layup Shot","2PT Field Goal",2,"Memphis Grizzlies",-17,11,"Klay Thompson",19
"14","14","14","Golden State Warriors","2/4/17","2016",3,8,29,"shot_yes","Cutting Layup Shot","2PT Field Goal",2,"Sacramento Kings",19,11,"Klay Thompson",28
"15","15","15","Golden State Warriors","12/28/16","2016",1,11,49,"shot_yes","Cutting Layup Shot","2PT Field Goal",0,"Toronto Raptors",2,2,"Klay Thompson",1
"16","16","16","Golden State Warriors","11/21/16","2016",2,2,42,"shot_no","Cutting Layup Shot","2PT Field Goal",0,"Indiana Pacers",1,0,"Klay Thompson",22
"17","17","17","Golden State Warriors","11/13/16","2016",3,4,51,"shot_yes","Cutting Layup Shot","2PT Field Goal",1,"Phoenix Suns",14,8,"Klay Thompson",32
"18","18","18","Golden State Warriors","1/6/17","2016",1,3,2,"shot_yes","Cutting Layup Shot","2PT Field Goal",3,"Memphis Grizzlies",25,21,"Klay Thompson",9
"19","19","19","Golden State Warriors","12/10/16","2016",2,7,30,"shot_yes","Cutting Layup Shot","2PT Field Goal",1,"Memphis Grizzlies",10,2,"Klay Thompson",17
"20","20","20","Golden State Warriors","10/28/16","2016",2,4,4,"shot_yes","Cutting Layup Shot","2PT Field Goal",1,"New Orleans Pelicans",9,13,"Klay Thompson",20
"21","21","21","Golden State Warriors","1/25/17","2016",3,11,10,"shot_yes","Cutting Layup Shot","2PT Field Goal",0,"Charlotte Hornets",6,2,"Klay Thompson",25
"22","22","22","Golden State Warriors","3/16/17","2016",1,7,28,"shot_yes","Cutting Layup Shot","2PT Field Goal",1,"Orlando Magic",-11,16,"Klay Thompson",5
"23","23","23","Golden State Warriors","3/20/17","2016",2,0,55,"shot_yes","Cutting Layup Shot","2PT Field Goal",0,"Oklahoma City Thunder",9,2,"Klay Thompson",24
"24","24","24","Golden State Warriors","12/5/16","2016",1,6,34,"shot_yes","Cutting Layup Shot","2PT Field Goal",2,"Indiana Pacers",4,21,"Klay Thompson",6
"25","25","25","Golden State Warriors","12/5/16","2016",3,9,32,"shot_yes","Cutting Layup Shot","2PT Field Goal",1,"Indiana Pacers",0,11,"Klay Thompson",27
"26","26","26","Golden State Warriors","12/15/16","2016",1,2,56,"shot_yes","Cutting Layup Shot","2PT Field Goal",0,"New York Knicks",-2,7,"Klay Thompson",10
"27","27","27","Golden State Warriors","2/10/17","2016",1,7,29,"shot_no","Cutting Layup Shot","2PT Field Goal",1,"Memphis Grizzlies",9,13,"Klay Thompson",5
"28","28","28","Golden State Warriors","1/20/17","2016",1,5,43,"shot_yes","Cutting Layup Shot","2PT Field Goal",3,"Houston Rockets",22,26,"Klay Thompson",7
"29","29","29","Golden State Warriors","1/16/17","2016",4,9,14,"shot_yes","Cutting Layup Shot","2PT Field Goal",1,"Cleveland Cavaliers",4,11,"Klay Thompson",39
"30","30","30","Golden State Warriors","3/2/17","2016",2,10,52,"shot_yes","Cutting Layup Shot","2PT Field Goal",1,"Chicago Bulls",10,7,"Klay Thompson",14
"31","31","31","Golden State Warriors","3/2/17","2016",2,11,47,"shot_yes","Cutting Layup Shot","2PT Field Goal",2,"Chicago Bulls",-20,7,"Klay Thompson",13
"32","32","32","Golden State Warriors","1/2/17","2016",2,2,5,"shot_yes","Cutting Layup Shot","2PT Field Goal",1,"Denver Nuggets",1,16,"Klay Thompson",22
"33","33","33","Golden State Warriors","3/28/17","2016",1,11,18,"shot_yes","Cutting Layup Shot","2PT Field Goal",1,"Houston Rockets",15,-11,"Klay Thompson",1
"34","34","34","Golden State Warriors","3/18/17","2016",4,9,58,"shot_yes","Cutting Layup Shot","2PT Field Goal",1,"Milwaukee Bucks",12,13,"Klay Thompson",39
"35","35","35","Golden State Warriors","1/8/17","2016",2,7,38,"shot_yes","Cutting Layup Shot","2PT Field Goal",1,"Sacramento Kings",19,3,"Klay Thompson",17
"36","36","36","Golden State Warriors","12/22/16","2016",2,6,45,"shot_yes","Cutting Layup Shot","2PT Field Goal",2,"Brooklyn Nets",27,8,"Klay Thompson",18
"37","37","37","Golden State Warriors","11/7/16","2016",1,11,21,"shot_yes","Cutting Layup Shot","2PT Field Goal",0,"New Orleans Pelicans",-4,8,"Klay Thompson",1
"38","38","38","Golden State Warriors","1/8/17","2016",3,10,24,"shot_yes","Cutting Layup Shot","2PT Field Goal",1,"Sacramento Kings",-17,-1,"Klay Thompson",26
"39","39","39","Golden State Warriors","11/13/16","2016",4,9,4,"shot_yes","Cutting Layup Shot","2PT Field Goal",1,"Phoenix Suns",4,11,"Klay Thompson",39
"40","40","40","Golden State Warriors","12/25/16","2016",1,0,0,"shot_yes","Cutting Layup Shot","2PT Field Goal",1,"Cleveland Cavaliers",-12,-11,"Klay Thompson",12
"41","41","41","Golden State Warriors","3/20/17","2016",2,1,28,"shot_yes","Cutting Layup Shot","2PT Field Goal",1,"Oklahoma City Thunder",10,7,"Klay Thompson",23
"42","42","42","Golden State Warriors","2/25/17","2016",2,11,41,"shot_yes","Cutting Layup Shot","2PT Field Goal",1,"Brooklyn Nets",3,19,"Klay Thompson",13
"43","43","43","Golden State Warriors","11/1/16","2016",1,1,21,"shot_yes","Cutting Layup Shot","2PT Field Goal",2,"Portland Trail Blazers",-24,-1,"Klay Thompson",11
"44","44","44","Golden State Warriors","12/11/16","2016",4,11,45,"shot_yes","Cutting Layup Shot","2PT Field Goal",1,"Minnesota Timberwolves",15,11,"Klay Thompson",37
"45","45","45","Golden State Warriors","3/28/17","2016",1,9,25,"shot_no","Cutting Layup Shot","2PT Field Goal",1,"Houston Rockets",-11,-6,"Klay Thompson",3
"46","46","46","Golden State Warriors","11/21/16","2016",2,7,11,"shot_yes","Cutting Layup Shot","2PT Field Goal",3,"Indiana Pacers",25,21,"Klay Thompson",17
"47","47","47","Golden State Warriors","3/26/17","2016",2,6,41,"shot_yes","Cutting Layup Shot","2PT Field Goal",2,"Memphis Grizzlies",15,16,"Klay Thompson",18
"48","48","48","Golden State Warriors","12/5/16","2016",1,3,26,"shot_no","Cutting Layup Shot","2PT Field Goal",2,"Indiana Pacers",9,28,"Klay Thompson",9
"49","49","49","Golden State Warriors","1/8/17","2016",2,6,5,"shot_yes","Cutting Layup Shot","2PT Field Goal",2,"Sacramento Kings",-22,16,"Klay Thompson",18
"50","50","50","Golden State Warriors","1/8/17","2016",2,6,42,"shot_yes","Cutting Layup Shot","2PT Field Goal",2,"Sacramento Kings",-19,11,"Klay Thompson",18
"51","51","51","Golden State Warriors","1/28/17","2016",1,7,40,"shot_no","Cutting Layup Shot","2PT Field Goal",1,"Los Angeles Clippers",2,16,"Klay Thompson",5
"52","52","52","Golden State Warriors","1/25/17","2016",2,9,59,"shot_yes","Cutting Layup Shot","2PT Field Goal",1,"Charlotte Hornets",-16,2,"Klay Thompson",15
"53","53","53","Golden State Warriors","1/20/17","2016",1,7,0,"shot_no","Cutting Layup Shot","2PT Field Goal",3,"Houston Rockets",-20,31,"Klay Thompson",5
"54","54","54","Golden State Warriors","10/30/16","2016",4,6,49,"shot_yes","Cutting Layup Shot","2PT Field Goal",2,"Phoenix Suns",17,11,"Klay Thompson",42
"55","55","55","Golden State Warriors","12/13/16","2016",4,6,20,"shot_yes","Cutting Layup Shot","2PT Field Goal",2,"New Orleans Pelicans",22,7,"Klay Thompson",42
"56","56","56","Golden State Warriors","4/4/17","2016",4,6,48,"shot_yes","Cutting Layup Shot","2PT Field Goal",1,"Minnesota Timberwolves",0,13,"Klay Thompson",42
"57","57","57","Golden State Warriors","11/28/16","2016",2,0,38,"shot_yes","Cutting Layup Shot","2PT Field Goal",1,"Atlanta Hawks",12,8,"Klay Thompson",24
"58","58","58","Golden State Warriors","2/27/17","2016",2,1,54,"shot_yes","Cutting Layup Shot","2PT Field Goal",2,"Philadelphia 76ers",12,-21,"Klay Thompson",23
"59","59","59","Golden State Warriors","10/28/16","2016",3,8,25,"shot_yes","Cutting Layup Shot","2PT Field Goal",2,"New Orleans Pelicans",22,16,"Klay Thompson",28
"60","60","60","Golden State Warriors","12/17/16","2016",2,4,33,"shot_yes","Driving Bank shot","2PT Field Goal",10,"Portland Trail Blazers",-101,38,"Klay Thompson",20
"61","61","61","Golden State Warriors","11/23/16","2016",1,4,56,"shot_yes","Driving Bank shot","2PT Field Goal",14,"Los Angeles Lakers",94,106,"Klay Thompson",8
"62","62","62","Golden State Warriors","12/11/16","2016",2,3,20,"shot_yes","Driving Bank shot","2PT Field Goal",5,"Minnesota Timberwolves",-40,38,"Klay Thompson",21
"63","63","63","Golden State Warriors","2/4/17","2016",2,0,48,"shot_yes","Driving Dunk Shot","2PT Field Goal",0,"Sacramento Kings",0,1,"Klay Thompson",24
"64","64","64","Golden State Warriors","12/5/16","2016",3,8,23,"shot_yes","Driving Finger Roll Layup Shot","2PT Field Goal",2,"Indiana Pacers",19,7,"Klay Thompson",28
"65","65","65","Golden State Warriors","12/15/16","2016",2,1,55,"shot_yes","Driving Finger Roll Layup Shot","2PT Field Goal",1,"New York Knicks",-7,13,"Klay Thompson",23
"66","66","66","Golden State Warriors","10/30/16","2016",2,9,26,"shot_yes","Driving Finger Roll Layup Shot","2PT Field Goal",0,"Phoenix Suns",-1,8,"Klay Thompson",15
"67","67","67","Golden State Warriors","10/30/16","2016",2,4,3,"shot_yes","Driving Finger Roll Layup Shot","2PT Field Goal",3,"Phoenix Suns",-2,31,"Klay Thompson",20
"68","68","68","Golden State Warriors","2/1/17","2016",1,7,54,"shot_no","Driving Finger Roll Layup Shot","2PT Field Goal",1,"Charlotte Hornets",6,18,"Klay Thompson",5
"69","69","69","Golden State Warriors","11/18/16","2016",2,0,14,"shot_yes","Driving Finger Roll Layup Shot","2PT Field Goal",2,"Boston Celtics",20,3,"Klay Thompson",24
"70","70","70","Golden State Warriors","2/27/17","2016",2,8,40,"shot_yes","Driving Finger Roll Layup Shot","2PT Field Goal",0,"Philadelphia 76ers",9,2,"Klay Thompson",16
"71","71","71","Golden State Warriors","1/6/17","2016",2,10,12,"shot_yes","Driving Finger Roll Layup Shot","2PT Field Goal",2,"Memphis Grizzlies",20,21,"Klay Thompson",14
"72","72","72","Golden State Warriors","10/28/16","2016",4,7,46,"shot_yes","Driving Finger Roll Layup Shot","2PT Field Goal",2,"New Orleans Pelicans",9,21,"Klay Thompson",41
"73","73","73","Golden State Warriors","12/3/16","2016",4,10,1,"shot_yes","Driving Finger Roll Layup Shot","2PT Field Goal",1,"Phoenix Suns",-4,11,"Klay Thompson",38
"74","74","74","Golden State Warriors","3/26/17","2016",3,4,36,"shot_yes","Driving Finger Roll Layup Shot","2PT Field Goal",1,"Memphis Grizzlies",12,11,"Klay Thompson",32
"75","75","75","Golden State Warriors","12/5/16","2016",1,5,7,"shot_yes","Driving Finger Roll Layup Shot","2PT Field Goal",2,"Indiana Pacers",6,21,"Klay Thompson",7
"76","76","76","Golden State Warriors","3/18/17","2016",2,11,35,"shot_yes","Driving Finger Roll Layup Shot","2PT Field Goal",2,"Milwaukee Bucks",20,11,"Klay Thompson",13
"77","77","77","Golden State Warriors","1/20/17","2016",2,10,19,"shot_yes","Driving Floating Bank Jump Shot","2PT Field Goal",7,"Houston Rockets",56,46,"Klay Thompson",14
"78","78","78","Golden State Warriors","12/15/16","2016",4,8,21,"shot_yes","Driving Floating Jump Shot","2PT Field Goal",10,"New York Knicks",-6,100,"Klay Thompson",40
"79","79","79","Golden State Warriors","1/4/17","2016",2,8,7,"shot_yes","Driving Floating Jump Shot","2PT Field Goal",8,"Portland Trail Blazers",-7,85,"Klay Thompson",16
"80","80","80","Golden State Warriors","1/29/17","2016",1,9,22,"shot_no","Driving Floating Jump Shot","2PT Field Goal",7,"Portland Trail Blazers",63,46,"Klay Thompson",3
"81","81","81","Golden State Warriors","3/21/17","2016",1,11,43,"shot_no","Driving Floating Jump Shot","2PT Field Goal",9,"Dallas Mavericks",-30,87,"Klay Thompson",1
"82","82","82","Golden State Warriors","1/20/17","2016",2,3,32,"shot_no","Driving Floating Jump Shot","2PT Field Goal",9,"Houston Rockets",-4,90,"Klay Thompson",21
"83","83","83","Golden State Warriors","12/5/16","2016",1,6,57,"shot_yes","Driving Floating Jump Shot","2PT Field Goal",9,"Indiana Pacers",89,41,"Klay Thompson",6
"84","84","84","Golden State Warriors","11/16/16","2016",3,4,27,"shot_no","Driving Floating Jump Shot","2PT Field Goal",9,"Toronto Raptors",42,90,"Klay Thompson",32
"85","85","85","Golden State Warriors","11/13/16","2016",2,10,42,"shot_yes","Driving Floating Jump Shot","2PT Field Goal",4,"Phoenix Suns",-9,47,"Klay Thompson",14
"86","86","86","Golden State Warriors","12/20/16","2016",2,0,49,"shot_yes","Driving Floating Jump Shot","2PT Field Goal",7,"Utah Jazz",-11,75,"Klay Thompson",24
"87","87","87","Golden State Warriors","11/18/16","2016",4,7,20,"shot_no","Driving Floating Jump Shot","2PT Field Goal",10,"Boston Celtics",-50,90,"Klay Thompson",41
"88","88","88","Golden State Warriors","11/4/16","2016",1,8,38,"shot_yes","Driving Layup Shot","2PT Field Goal",0,"Los Angeles Lakers",0,-6,"Klay Thompson",4
"89","89","89","Golden State Warriors","2/2/17","2016",4,3,56,"shot_yes","Driving Layup Shot","2PT Field Goal",1,"Los Angeles Clippers",-14,7,"Klay Thompson",45
"90","90","90","Golden State Warriors","3/2/17","2016",2,7,18,"shot_no","Driving Layup Shot","2PT Field Goal",2,"Chicago Bulls",-22,7,"Klay Thompson",17
"91","91","91","Golden State Warriors","3/2/17","2016",2,0,35,"shot_no","Driving Layup Shot","2PT Field Goal",2,"Chicago Bulls",20,3,"Klay Thompson",24
"92","92","92","Golden State Warriors","2/15/17","2016",1,6,13,"shot_yes","Driving Layup Shot","2PT Field Goal",2,"Sacramento Kings",14,16,"Klay Thompson",6
"93","93","93","Golden State Warriors","12/17/16","2016",1,8,17,"shot_yes","Driving Layup Shot","2PT Field Goal",1,"Portland Trail Blazers",0,11,"Klay Thompson",4
"94","94","94","Golden State Warriors","12/17/16","2016",2,4,37,"shot_no","Driving Layup Shot","2PT Field Goal",1,"Portland Trail Blazers",1,18,"Klay Thompson",20
"95","95","95","Golden State Warriors","3/2/17","2016",3,5,55,"shot_no","Driving Layup Shot","2PT Field Goal",1,"Chicago Bulls",6,11,"Klay Thompson",31
"96","96","96","Golden State Warriors","12/25/16","2016",3,3,46,"shot_no","Driving Layup Shot","2PT Field Goal",0,"Cleveland Cavaliers",1,7,"Klay Thompson",33
"97","97","97","Golden State Warriors","2/25/17","2016",1,8,40,"shot_yes","Driving Layup Shot","2PT Field Goal",1,"Brooklyn Nets",9,13,"Klay Thompson",4
"98","98","98","Golden State Warriors","1/28/17","2016",2,6,58,"shot_yes","Driving Layup Shot","2PT Field Goal",1,"Los Angeles Clippers",-9,7,"Klay Thompson",18
"99","99","99","Golden State Warriors","1/20/17","2016",1,4,31,"shot_yes","Driving Layup Shot","2PT Field Goal",3,"Houston Rockets",32,7,"Klay Thompson",8
"100","100","100","Golden State Warriors","11/16/16","2016",2,10,16,"shot_yes","Driving Layup Shot","2PT Field Goal",2,"Toronto Raptors",-19,16,"Klay Thompson",14
"101","101","101","Golden State Warriors","11/10/16","2016",4,8,36,"shot_yes","Driving Layup Shot","2PT Field Goal",2,"Denver Nuggets",25,-1,"Klay Thompson",40
"102","102","102","Golden State Warriors","10/25/16","2016",4,7,46,"shot_yes","Driving Layup Shot","2PT Field Goal",1,"San Antonio Spurs",9,11,"Klay Thompson",41
"103","103","103","Golden State Warriors","11/18/16","2016",1,6,26,"shot_no","Driving Layup Shot","2PT Field Goal",2,"Boston Celtics",-17,16,"Klay Thompson",6
"104","104","104","Golden State Warriors","1/28/17","2016",2,5,43,"shot_yes","Driving Layup Shot","2PT Field Goal",1,"Los Angeles Clippers",1,11,"Klay Thompson",19
"105","105","105","Golden State Warriors","12/17/16","2016",1,5,39,"shot_yes","Driving Layup Shot","2PT Field Goal",0,"Portland Trail Blazers",-1,8,"Klay Thompson",7
"106","106","106","Golden State Warriors","12/1/16","2016",4,5,22,"shot_no","Driving Layup Shot","2PT Field Goal",1,"Houston Rockets",12,11,"Klay Thompson",43
"107","107","107","Golden State Warriors","1/16/17","2016",3,8,54,"shot_no","Driving Layup Shot","2PT Field Goal",2,"Cleveland Cavaliers",20,21,"Klay Thompson",28
"108","108","108","Golden State Warriors","2/1/17","2016",2,10,48,"shot_yes","Driving Layup Shot","2PT Field Goal",1,"Charlotte Hornets",9,16,"Klay Thompson",14
"109","109","109","Golden State Warriors","1/22/17","2016",2,8,3,"shot_no","Driving Layup Shot","2PT Field Goal",3,"Orlando Magic",28,19,"Klay Thompson",16
"110","110","110","Golden State Warriors","12/11/16","2016",2,7,48,"shot_yes","Driving Layup Shot","2PT Field Goal",2,"Minnesota Timberwolves",-14,21,"Klay Thompson",17
"111","111","111","Golden State Warriors","1/29/17","2016",2,1,55,"shot_no","Driving Layup Shot","2PT Field Goal",1,"Portland Trail Blazers",12,2,"Klay Thompson",23
"112","112","112","Golden State Warriors","3/5/17","2016",4,3,1,"shot_yes","Driving Layup Shot","2PT Field Goal",1,"New York Knicks",-19,2,"Klay Thompson",45
"113","113","113","Golden State Warriors","3/5/17","2016",3,6,54,"shot_no","Driving Layup Shot","2PT Field Goal",0,"New York Knicks",0,4,"Klay Thompson",30
"114","114","114","Golden State Warriors","12/23/16","2016",2,9,16,"shot_yes","Driving Layup Shot","2PT Field Goal",0,"Detroit Pistons",4,-6,"Klay Thompson",15
"115","115","115","Golden State Warriors","12/10/16","2016",2,2,25,"shot_no","Driving Layup Shot","2PT Field Goal",2,"Memphis Grizzlies",-19,18,"Klay Thompson",22
"116","116","116","Golden State Warriors","12/11/16","2016",1,7,7,"shot_yes","Driving Layup Shot","2PT Field Goal",1,"Minnesota Timberwolves",1,11,"Klay Thompson",5
"117","117","117","Golden State Warriors","11/18/16","2016",1,6,30,"shot_no","Driving Layup Shot","2PT Field Goal",0,"Boston Celtics",9,2,"Klay Thompson",6
"118","118","118","Golden State Warriors","12/25/16","2016",1,9,57,"shot_yes","Driving Layup Shot","2PT Field Goal",1,"Cleveland Cavaliers",-14,-11,"Klay Thompson",3
"119","119","119","Golden State Warriors","12/25/16","2016",4,11,22,"shot_yes","Driving Layup Shot","2PT Field Goal",0,"Cleveland Cavaliers",0,-5,"Klay Thompson",37
"120","120","120","Golden State Warriors","1/2/17","2016",4,9,3,"shot_no","Driving Layup Shot","2PT Field Goal",1,"Denver Nuggets",12,11,"Klay Thompson",39
"121","121","121","Golden State Warriors","11/7/16","2016",2,9,4,"shot_no","Driving Reverse Layup Shot","2PT Field Goal",1,"New Orleans Pelicans",-7,11,"Klay Thompson",15
"122","122","122","Golden State Warriors","3/2/17","2016",3,9,8,"shot_no","Driving Reverse Layup Shot","2PT Field Goal",2,"Chicago Bulls",-22,7,"Klay Thompson",27
"123","123","123","Golden State Warriors","12/22/16","2016",4,3,15,"shot_no","Driving Reverse Layup Shot","2PT Field Goal",2,"Brooklyn Nets",22,3,"Klay Thompson",45
"124","124","124","Golden State Warriors","12/20/16","2016",3,7,20,"shot_no","Driving Reverse Layup Shot","2PT Field Goal",1,"Utah Jazz",1,11,"Klay Thompson",29
"125","125","125","Golden State Warriors","3/2/17","2016",1,9,21,"shot_yes","Driving Reverse Layup Shot","2PT Field Goal",2,"Chicago Bulls",25,11,"Klay Thompson",3
"126","126","126","Golden State Warriors","12/17/16","2016",2,2,25,"shot_no","Driving Reverse Layup Shot","2PT Field Goal",2,"Portland Trail Blazers",19,16,"Klay Thompson",22
"127","127","127","Golden State Warriors","3/14/17","2016",2,11,20,"shot_yes","Driving Reverse Layup Shot","2PT Field Goal",1,"Philadelphia 76ers",0,16,"Klay Thompson",13
"128","128","128","Golden State Warriors","12/22/16","2016",3,8,7,"shot_no","Driving Reverse Layup Shot","2PT Field Goal",1,"Brooklyn Nets",-12,2,"Klay Thompson",28
"129","129","129","Golden State Warriors","2/11/17","2016",1,8,53,"shot_no","Driving Reverse Layup Shot","2PT Field Goal",0,"Oklahoma City Thunder",6,-4,"Klay Thompson",4
"130","130","130","Golden State Warriors","3/21/17","2016",1,10,2,"shot_yes","Driving Reverse Layup Shot","2PT Field Goal",1,"Dallas Mavericks",15,2,"Klay Thompson",2
"131","131","131","Golden State Warriors","12/7/16","2016",3,9,49,"shot_yes","Fadeaway Bank shot","2PT Field Goal",10,"Los Angeles Clippers",-99,46,"Klay Thompson",27
"132","132","132","Golden State Warriors","11/18/16","2016",4,7,57,"shot_no","Fadeaway Jump Shot","2PT Field Goal",14,"Boston Celtics",20,144,"Klay Thompson",41
"133","133","133","Golden State Warriors","3/2/17","2016",1,7,9,"shot_no","Fadeaway Jump Shot","2PT Field Goal",17,"Chicago Bulls",-135,110,"Klay Thompson",5
"134","134","134","Golden State Warriors","1/28/17","2016",3,4,28,"shot_yes","Fadeaway Jump Shot","2PT Field Goal",16,"Los Angeles Clippers",-148,75,"Klay Thompson",32
"135","135","135","Golden State Warriors","11/3/16","2016",4,2,51,"shot_yes","Fadeaway Jump Shot","2PT Field Goal",10,"Oklahoma City Thunder",-99,18,"Klay Thompson",46
"136","136","136","Golden State Warriors","1/28/17","2016",1,9,36,"shot_yes","Fadeaway Jump Shot","2PT Field Goal",13,"Los Angeles Clippers",61,124,"Klay Thompson",3
"137","137","137","Golden State Warriors","12/20/16","2016",1,6,26,"shot_no","Fadeaway Jump Shot","2PT Field Goal",9,"Utah Jazz",76,56,"Klay Thompson",6
"138","138","138","Golden State Warriors","12/5/16","2016",2,7,50,"shot_yes","Fadeaway Jump Shot","2PT Field Goal",10,"Indiana Pacers",88,51,"Klay Thompson",17
"139","139","139","Golden State Warriors","11/25/16","2016",4,8,7,"shot_yes","Fadeaway Jump Shot","2PT Field Goal",12,"Los Angeles Lakers",109,65,"Klay Thompson",40
"140","140","140","Golden State Warriors","1/2/17","2016",4,2,42,"shot_yes","Fadeaway Jump Shot","2PT Field Goal",8,"Denver Nuggets",-4,85,"Klay Thompson",46
"141","141","141","Golden State Warriors","1/6/17","2016",2,11,29,"shot_no","Fadeaway Jump Shot","2PT Field Goal",8,"Memphis Grizzlies",50,70,"Klay Thompson",13
"142","142","142","Golden State Warriors","3/14/17","2016",3,7,30,"shot_no","Fadeaway Jump Shot","2PT Field Goal",14,"Philadelphia 76ers",-147,21,"Klay Thompson",29
"143","143","143","Golden State Warriors","12/17/16","2016",2,3,48,"shot_yes","Fadeaway Jump Shot","2PT Field Goal",16,"Portland Trail Blazers",-160,21,"Klay Thompson",21
"144","144","144","Golden State Warriors","1/29/17","2016",4,11,23,"shot_yes","Fadeaway Jump Shot","2PT Field Goal",20,"Portland Trail Blazers",-156,134,"Klay Thompson",37
"145","145","145","Golden State Warriors","11/18/16","2016",2,2,12,"shot_yes","Fadeaway Jump Shot","2PT Field Goal",16,"Boston Celtics",-145,85,"Klay Thompson",22
"146","146","146","Golden State Warriors","3/31/17","2016",2,9,40,"shot_no","Fadeaway Jump Shot","2PT Field Goal",14,"Houston Rockets",148,13,"Klay Thompson",15
"147","147","147","Golden State Warriors","12/7/16","2016",2,8,13,"shot_no","Fadeaway Jump Shot","2PT Field Goal",13,"Los Angeles Clippers",137,8,"Klay Thompson",16
"148","148","148","Golden State Warriors","12/30/16","2016",4,3,47,"shot_no","Fadeaway Jump Shot","2PT Field Goal",14,"Dallas Mavericks",109,95,"Klay Thompson",45
"149","149","149","Golden State Warriors","1/4/17","2016",2,7,38,"shot_no","Fadeaway Jump Shot","2PT Field Goal",17,"Portland Trail Blazers",101,146,"Klay Thompson",17
"150","150","150","Golden State Warriors","1/8/17","2016",1,9,58,"shot_yes","Fadeaway Jump Shot","2PT Field Goal",12,"Sacramento Kings",-109,51,"Klay Thompson",3
"151","151","151","Golden State Warriors","2/25/17","2016",2,7,5,"shot_yes","Finger Roll Layup Shot","2PT Field Goal",1,"Brooklyn Nets",1,11,"Klay Thompson",17
"152","152","152","Golden State Warriors","11/26/16","2016",4,9,54,"shot_yes","Finger Roll Layup Shot","2PT Field Goal",2,"Minnesota Timberwolves",14,18,"Klay Thompson",39
"153","153","153","Golden State Warriors","1/22/17","2016",1,5,19,"shot_no","Floating Jump shot","2PT Field Goal",10,"Orlando Magic",71,72,"Klay Thompson",7
"154","154","154","Golden State Warriors","3/21/17","2016",3,7,49,"shot_no","Floating Jump shot","3PT Field Goal",25,"Dallas Mavericks",187,174,"Klay Thompson",29
"155","155","155","Golden State Warriors","11/3/16","2016",4,10,46,"shot_yes","Floating Jump shot","2PT Field Goal",11,"Oklahoma City Thunder",-2,111,"Klay Thompson",38
"156","156","156","Golden State Warriors","2/2/17","2016",4,11,37,"shot_yes","Floating Jump shot","2PT Field Goal",7,"Los Angeles Clippers",-12,72,"Klay Thompson",37
"157","157","157","Golden State Warriors","11/13/16","2016",4,6,23,"shot_no","Floating Jump shot","2PT Field Goal",12,"Phoenix Suns",-88,90,"Klay Thompson",42
"158","158","158","Golden State Warriors","1/29/17","2016",2,5,50,"shot_no","Floating Jump shot","2PT Field Goal",9,"Portland Trail Blazers",81,41,"Klay Thompson",19
"159","159","159","Golden State Warriors","1/4/17","2016",2,7,5,"shot_no","Hook Shot","2PT Field Goal",4,"Portland Trail Blazers",-32,36,"Klay Thompson",17
"160","160","160","Golden State Warriors","12/7/16","2016",1,9,4,"shot_no","Jump Bank Shot","2PT Field Goal",5,"Los Angeles Clippers",-4,51,"Klay Thompson",3
